SRV_CD;SRV_NM_AR;SRV_NM_EN;SRV_GRP;DOMN;DPT_NO;PRCGRP_ID;UNT_CNT;SRV_TY;SRV_NAT;DISC;DISC_VL;DRPRNT;MNG;SRVRAT;Srv_by1;SRV_BY1_GRP;Srv_by2;SRV_BY2_GRP;Srv_by3;SRV_BY3_GRP;Srv_by4;SRV_BY4_GRP;Srv_by5;SRV_BY5_GRP;UNT_NO1;UNT_NO2;UNT_NO3;UNT_NO4;UNT_NO5;PAY_MD;PRC1;STAT;STAT_DT;PRC2;PRC3;PRC_TYP;MNGEXP;TAX1;TAX2;AUTO_SRV_CDS;UNTS;MINS;ENTEREDBY;UPDATEDBY;ENTRYDATE;UPDATEDATE;MSRV_CD;SKILL_LVL;TYPSKILL_LVL;EFCT;GLNO1;GLNO2;GLNO3;GLNO4;CLCSRV;CNSLT;CNSLTDYS;AZTRTY;MITMCD;STATE;OPMED;PHRM;AZTRTY_RTRN;WF_TR_NO;WF_LN_NO;DPTS;SRV_INV_CD;ANAID
07;الصيدلية ********;NULL;NULL;NULL;07;NULL;1;1;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;اشرف زكى;2009-06-24 11:35:23.000;2009-06-27 20:46:12.000;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
070101;صرف ادوية;NULL;NULL;NULL;07;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;اشرف زكى;2009-06-27 20:44:52.000;2009-11-08 03:33:39.000;07;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
070102;صرف مستلزمات;NULL;NULL;NULL;07;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-06-27 20:45:32.000;NULL;07;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0807;عيادة الرمـــد *******;NULL;NULL;NULL;0807;NULL;1;1;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;اشرف زكى;2009-06-24 11:42:46.000;2009-06-28 22:57:48.000;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080701;كشف استشارى رمــد;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;اشرف زكى;2009-06-24 12:25:16.000;2009-06-24 12:25:32.000;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080702;كشف اخصائى رمـــد;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;اشرف زكى;2009-06-27 14:56:00.000;2009-06-27 15:11:05.000;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080703;كشف استاذ والاستشارى رمـــد;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-06-27 19:35:38.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080704;استشارة بعد الكشف (اخصائى;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;اشرف زكى;2009-06-27 20:25:49.000;2011-02-01 13:46:56.000;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080705;استدعاء استشارى رمـــد;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;NULL;2009-06-28 04:35:33.000;NULL;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
080706;استدعاء اخصائى رمـــد;NULL;NULL;NULL;0807;NULL;1;2;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;اشرف زكى;اشرف زكى;2009-06-28 04:36:37.000;2011-02-01 13:47:09.000;0807;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
