SRV_CD;Name
1502;فحوصات الليزك 
1503;عملية تصحيح عين - مركز
1504;عملية تصحيح عينين - مركز
1505;عملية تصحيح عين - طبيب خارجى
1506;عملية تصحيح عينين - طبيب خارجى
1507;عملية سطحي عين - طبيب خارجى
1508;عملية سطحي عينين - طبيب خارجى
1509;عملية تصحيح عين مركز - مشرط 90
1510;عملية تصحيح عينين مركز - مشرط 90
1511;عملية تصحيح عين مركز - د/السعدني
1512;عملية تصحيح عينين مركز - د/السعدني
1513;قياس ضغط العين
1514;عملية تصحيح عين مركز - اخصائى
1515;عملية تصحيح عينين مركز - اخصائى
1516;عملية تصحيح عين مركز - استشارى
1517;عملية تصحيح عينين مركز - استشارى
1518;عملية تصحيح عين مركز اخصائى مشرط 90
1519;عملية تصحيح عينين مركز اخصائى مشرط 90
1520;عملية تصحيح عين - د/الصواف
1521;عملية تصحيح عينين - د/الصواف
1522;كشف استشارى - تعاقد
1523;كشف اخصائى - تعاقد
1524;فحص عين بنتاكام - تعاقد
1560;كشف - الشروق
1561;كشف خارجى - الشروق
1562;فحص عين بنتاكام - الشروق
1563;عملية سطحي ط خارجى عين - الشروق
1564;عملية سطحي ط خارجى عينين - الشروق
1565;عملية تصحيح عين ط خارجى - الشروق
1566;عملية تصحيح عينين ط خارجى - الشروق
1567;عملية اخصائى مركز عين - الشروق
1568;عملية اخصائى مركز عينين - الشروق
1569;ايرادات متنوعة - الشروق
1570;كشف تعاقد - الشروق
1571;فحص عين بنتاكام - تعاقد - الشروق
1572;فحص عين بنتاكام - طبيب خارجى - الشروق
1573;استهلاك مشرط - ط خارجى - الشروق
1574;استهلاك مشرط 90 - ط خارجى - الشروق
1578;عملية تثبيت ضوئى
1579;عملية فيمتو
1580;عملية كاستم
1581;عملية تصحيح ابصار عينين - استشارى (كفر الشيخ)
1582;قطرات اوركاديا (فورتى موكس)
1583;قطرات اوركاديا (جاتى ستار)
1584;ايرادات متنوعة - كمامات
1585;رسوم عملية  كتاركت
1586;كشف خارجى
1587;كشف تحديد عملية
1588;رسوم فتح الجهاز
1589;كشف استشارى
1590;فحص عين بنتاكام - طبيب خارجى
1591;ايرادات متنوعة (قطرات اليكون)
1592;ايرادات متنوعة (قطرات الرجان)
1593;ايرادات متنوعة - قطرات
1594;ايرادات متنوعة (قطرات جمجوم)
1595;مشرط 90 - موريا
1596;مشرط 130 - موريا
1597;استهلاك مشرط 90
1598;استهلاك مشرط
1599;قيمة تخدير كلى
1600;فحص عين بنتاكام - د/الصواف
1601;فحص عين بنتاكام - الرمد
1602;كشف نظاره - شعاع
1603;قطرات - د/ الصواف
1604;كشف نظاره - اوفو
1605;كشف نظاره - جولد اي
1606;كشف نظاره - كريزي
1607;ايرادات متنوعه
1608;كشف نظاره - نوري
1609;كشف نظاره - زايد
1610;مشرط ميتال هيد
1611;عملية تصحيح مشرط ميتال هيد - عين
1612;عملية تصحيح مشرط ميتال هيد - عينين
1613;كشف خارجي - عياده
1614;فحص عين بنتاكام - الرمد - الشروق
